Wallet_Address,Original_Label,MicroScore,GCN_FraudProbability,GCN_Prediction
0xA1E4380A3B1f749673E270229993eE55F35663b4,FRAUD,0.4136,0.5672,FRAUD
0xc9D4035F4A9226D50f79b73Aafb5d874a1B6537e,FRAUD,0.4530,0.7658,FRAUD
0xc8ebccC5F5689Fa8659d83713341e5aD19349448,FRAUD,0.4997,0.9481,FRAUD
0x136D4b662BbD1080Cfe4445B0fA213864435B7f1,FRAUD,0.4354,0.5828,FRAUD
0x4d9279962029a8bd45639737E98b511eFF074C21,UNKNOWN,0.4136,0.2605,CLEAN
0x22F2DcFf5aD78c3Eb6850B5Cb951127B659522E6,UNKNOWN,0.4143,0.4659,CLEAN
0xb5CE1861d98E85c84531Dbc18720278328Fd97f6,UNKNOWN,0.4143,0.7875,FRAUD
BinanceWallet,FRAUD,0.8000,0.2828,CLEAN
0x5DF9B87991262F6BA471F09758CDE1c0FC1De734,UNKNOWN,0.3756,0.8786,FRAUD
0x3D0768da09CE77d25e2d998E6a7b6eD4b9116c2D,UNKNOWN,0.3845,0.3752,CLEAN
0x1C68a66138783A63c98cc675a9eC77AF4598D35e,CLEAN,0.2294,0.0941,CLEAN
0xB608771949021D2f2F1c9C5Afb980AD8BCDA3985,CLEAN,0.3018,0.3621,CLEAN
0x8CE4949d8a16542D423c17984E6739Fa72CeB177,UNKNOWN,0.4008,0.4963,CLEAN
0x99C236141DaeC837Ece04fdAEE1D90cF8BbDC104,UNKNOWN,0.3756,0.4474,CLEAN
0xd65F9b9AA7BeCfd1481Bdd7E22527ca0900B7bc8,CLEAN,0.2308,0.3097,CLEAN
0xb66a63e5ba7a888450af2ede7a47fd99777b647a,CLEAN,0.2200,0.0841,CLEAN
0xb20f603635d3148fc197114ce7930ba2203c0b19,CLEAN,0.2200,0.0841,CLEAN
0xad5268de391998acf4d8a60364f8f7237fb6a34f,CLEAN,0.2200,0.0841,CLEAN
0x525d09f85d1d65c1a52fe7cdfbea2c863a44938f,CLEAN,0.2200,0.0841,CLEAN
0x34b7e7bc247b69b9d270973938b9c8c310385d2c,CLEAN,0.2200,0.0841,CLEAN
0x0a046123f55ddde374cc59eec165fc8f94669949,CLEAN,0.2200,0.0841,CLEAN
0x06b79abe66e4c0ce96de226de64f5c0bc8659155,CLEAN,0.2200,0.0841,CLEAN
0xfd5b7bab582fdfdc763e4692ccce240f6456bffc,CLEAN,0.2200,0.0841,CLEAN
0x8cc60a4e75d47d682b18d08248a53eba2e691541,CLEAN,0.2200,0.0841,CLEAN
0x0ef2d1b5139f4f06c5e414b60df70bf8514bfe4a,CLEAN,0.2200,0.0841,CLEAN
0xac8997c19b5bbb3372170d8adb6ee03a504f86f3,CLEAN,0.2200,0.0841,CLEAN
0xa3e4c1492aaf4a8c316482094c9b2c82b8040936,CLEAN,0.2200,0.0841,CLEAN
0x18eed73ac04d8275d4ec6347482355fb1d60971c,CLEAN,0.2200,0.0841,CLEAN
0xad03ed05774a07b8ed253af58c788c7254677991,CLEAN,0.2200,0.0841,CLEAN
0xa3123a6af0348b9bea344c4223df3d30cbc2f0d0,CLEAN,0.2200,0.0841,CLEAN
0x0189fe035b9fd6918aa33c700bc3719adab93849,CLEAN,0.2200,0.0841,CLEAN
0xca6e4583c15b8c475e62aec52326779912bb43c6,CLEAN,0.2200,0.0841,CLEAN
0x2c050800bb866466920fb62c5bc6f2895bd75fdd,CLEAN,0.2200,0.0841,CLEAN
0x6e44e14ee0bc2a7d3d9e39b2ee2edd5ff5d34a43,CLEAN,0.2200,0.0841,CLEAN
0xc1f6554ac96620272ca2e930672bd4c8468f9bab,CLEAN,0.2200,0.0841,CLEAN
0xacbf320bbd33b98417311c9566c1a45128c7ab6c,CLEAN,0.2200,0.0841,CLEAN
0x6c0e24404556396d3bddf425660b377ba75e8005,CLEAN,0.2200,0.0841,CLEAN
0xb99399dea846625bc0ab1bfd7f8e16580ce18c5d,CLEAN,0.2200,0.0841,CLEAN
0x598120e511b209dc10c644fe9dab3d55d388d4e7,CLEAN,0.2200,0.0841,CLEAN
0x4dd36589d12bc276b923851a14e7798d11b54a17,CLEAN,0.2200,0.0841,CLEAN
0x3e301a506ecb76a96cf2dc1e2be607c89580390d,CLEAN,0.2200,0.0841,CLEAN
0x66e575eb766e3f7c788d44818373f76783b3ebe1,CLEAN,0.2200,0.0841,CLEAN
0x5b0a38edf7525fac84a4b97775ec0594488a67a9,CLEAN,0.2200,0.0841,CLEAN
0xc4f1c95ab472a96dbc14da5c4513d19944a0d555,CLEAN,0.2200,0.0841,CLEAN
0xbf0d260e8ef582b0d395fff0ec4a5a72d1763d63,CLEAN,0.2200,0.0841,CLEAN
0x996cab86065c5c79ce10f5aedc2807f2766aefaa,CLEAN,0.2200,0.0841,CLEAN
0xae014c027720e94accf8b363f39a322eb650e6c2,CLEAN,0.2200,0.0841,CLEAN
